timestamp,pm
2021-08-01 12:00:00,1.89882
2021-08-01 13:00:00,1.57583
2021-08-01 14:00:00,2.00943
2021-08-01 15:00:00,1.52706
2021-08-01 16:00:00,1.22749
2021-08-01 17:00:00,0.95519
2021-08-01 18:00:00,0.85986
2021-08-01 19:00:00,0.80851
2021-08-01 20:00:00,0.93381
2021-08-01 21:00:00,1.24823
2021-08-01 22:00:00,1.54695
2021-08-01 23:00:00,1.73647
2021-08-02 00:00:00,2.10588
2021-08-02 01:00:00,2.09434
2021-08-02 02:00:00,2.19811
2021-08-02 03:00:00,2.54953
2021-08-02 04:00:00,2.93381
2021-08-02 05:00:00,2.33097
2021-08-02 06:00:00,2.40566
2021-08-02 07:00:00,1.92925
2021-08-02 08:00:00,1.26588
2021-08-02 09:00:00,1.21564
2021-08-02 10:00:00,1.74292
2021-08-02 11:00:00,1.78302
2021-08-02 12:00:00,1.64858
2021-08-02 13:00:00,1.24292
2021-08-02 14:00:00,1.20283
2021-08-02 15:00:00,1.04481
2021-08-02 16:00:00,1.32783
2021-08-02 17:00:00,0.93647
2021-08-02 18:00:00,0.69412
2021-08-02 19:00:00,1.17217
2021-08-02 20:00:00,1.24
2021-08-02 21:00:00,2.04728
2021-08-02 22:00:00,2.87765
2021-08-02 23:00:00,3.04009
2021-08-03 00:00:00,3.53191
2021-08-03 01:00:00,3.33647
2021-08-03 02:00:00,3.85647
2021-08-03 03:00:00,4.03529
2021-08-03 04:00:00,4.78251
2021-08-03 05:00:00,5.09176
2021-08-03 06:00:00,5.87324
2021-08-03 07:00:00,5.10353
2021-08-03 08:00:00,4.20804
2021-08-03 09:00:00,2.66983
2021-08-03 10:00:00,2.2217
2021-08-03 11:00:00,2.7234
2021-08-03 12:00:00,4.21986
2021-08-03 13:00:00,1.74292
2021-08-03 14:00:00,1.94326
2021-08-03 15:00:00,2.76596
2021-08-03 16:00:00,2.25236
2021-08-03 17:00:00,2.96706
2021-08-03 18:00:00,3.32388
2021-08-03 19:00:00,3.13002
2021-08-03 20:00:00,4.891
2021-08-03 21:00:00,7.02864
2021-08-03 22:00:00,8.86761
2021-08-03 23:00:00,4.90802
2021-08-04 00:00:00,4.77778
2021-08-04 01:00:00,4.43128
2021-08-04 02:00:00,4.14623
2021-08-04 03:00:00,3.92199
2021-08-04 04:00:00,3.12972
2021-08-04 05:00:00,2.27187
2021-08-04 06:00:00,2.51765
2021-08-04 07:00:00,2.09176
2021-08-04 08:00:00,1.82979
2021-08-04 09:00:00,1.94524
2021-08-04 10:00:00,1.73286
2021-08-04 11:00:00,1.68706
2021-08-04 12:00:00,1.37882
2021-08-04 13:00:00,1.24048
2021-08-04 14:00:00,0.97163
2021-08-04 15:00:00,0.83215
2021-08-04 16:00:00,1.1019
2021-08-04 17:00:00,1.52133
2021-08-04 18:00:00,0.67139
2021-08-04 19:00:00,0.35377
2021-08-04 20:00:00,0.58156
2021-08-04 21:00:00,0.25176
2021-08-04 22:00:00,0.21412
2021-08-04 23:00:00,0.12796
2021-08-05 00:00:00,0.44235
2021-08-05 01:00:00,0.25708
2021-08-05 02:00:00,0.32864
2021-08-05 03:00:00,0.31368
2021-08-05 04:00:00,0.0
2021-08-05 05:00:00,0.0
2021-08-05 06:00:00,0.02118
2021-08-05 07:00:00,0.0
2021-08-05 08:00:00,0.30332
2021-08-05 09:00:00,0.07601
2021-08-05 10:00:00,0.82118
2021-08-05 11:00:00,0.28369
2021-08-05 12:00:00,1.09693
2021-08-05 13:00:00,2.01655
2021-08-05 14:00:00,2.28169
2021-08-05 15:00:00,1.52844
2021-08-05 16:00:00,0.78824
2021-08-05 17:00:00,2.01176
2021-08-05 18:00:00,2.61321
2021-08-05 19:00:00,3.65166
2021-08-05 20:00:00,3.74292
