timestamp,co_corrected
2020-02-02 00:00:00,0.19598155322272434
2020-02-02 01:00:00,0.23607853004435272
2020-02-02 02:00:00,0.264739928880719
2020-02-02 03:00:00,0.20033181911084727
2020-02-02 04:00:00,0.15079857118211135
2020-02-02 05:00:00,0.14105661706725597
2020-02-02 06:00:00,0.13459247150952455
2020-02-02 07:00:00,0.14672061985127194
2020-02-02 08:00:00,0.14291358300287144
2020-02-02 09:00:00,0.11485281627485866
2020-02-02 10:00:00,0.09774740186039434
2020-02-02 11:00:00,0.10843814002830497
2020-02-02 12:00:00,0.11359671579340372
2020-02-02 13:00:00,0.11387906422040726
2020-02-02 14:00:00,0.11310225602743598
2020-02-02 15:00:00,0.11934868994682479
2020-02-02 16:00:00,0.13734459942264843
2020-02-02 17:00:00,0.13758489814414834
2020-02-02 18:00:00,0.13957020427385675
2020-02-02 19:00:00,0.15092457791812952
2020-02-02 20:00:00,0.13718190993469775
2020-02-02 21:00:00,0.1351539015222278
2020-02-02 22:00:00,0.13038384652651838
2020-02-02 23:00:00,0.127749839052124
2020-02-03 00:00:00,0.12063885891616621
2020-02-03 01:00:00,0.12032827564646226
2020-02-03 02:00:00,0.11586133685461886
2020-02-03 03:00:00,0.11468900751803505
2020-02-03 04:00:00,0.1172812460928974
2020-02-03 05:00:00,0.12232034880458637
2020-02-03 06:00:00,0.11565645923568554
2020-02-03 07:00:00,0.12882602991604206
2020-02-03 08:00:00,0.127178375169701
2020-02-03 11:00:00,0.12010869724166029
2020-02-03 12:00:00,0.11319279420072315
2020-02-03 13:00:00,0.1101618655078716
2020-02-03 14:00:00,0.10779783913268672
2020-02-03 15:00:00,0.11426758498979657
2020-02-03 16:00:00,0.12259350577978512
2020-02-03 17:00:00,0.1318459913559438
2020-02-03 18:00:00,0.16110288869289952
2020-02-03 19:00:00,0.14744912546210293
2020-02-03 20:00:00,0.1347775147348255
2020-02-03 21:00:00,0.1317430858548623
2020-02-03 22:00:00,0.13817386296212955
2020-02-03 23:00:00,0.1370946386027147
2020-02-04 00:00:00,0.1352194716941187
2020-02-04 01:00:00,0.12627626027813393
2020-02-04 02:00:00,0.12467620807651086
2020-02-04 03:00:00,0.12338603910716944
2020-02-04 04:00:00,0.12441976103413313
2020-02-04 05:00:00,0.12326586601633738
2020-02-04 06:00:00,0.12621442363916216
2020-02-04 07:00:00,0.13041208136921878
2020-02-04 08:00:00,0.12968357575838796
2020-02-04 09:00:00,0.12285401066620405
2020-02-04 10:00:00,0.12152370621798272
2020-02-04 11:00:00,0.12501409280568543
2020-02-04 12:00:00,0.11742755391416292
2020-02-04 13:00:00,0.11614928558100099
2020-02-04 14:00:00,0.12438219235913517
2020-02-04 15:00:00,0.15567456517439893
2020-02-04 16:00:00,0.19802218208386457
2020-02-04 17:00:00,0.23679046810285528
2020-02-04 18:00:00,0.2848625045853958
2020-02-04 19:00:00,0.32348473590399707
2020-02-04 20:00:00,0.32684468218534035
2020-02-04 21:00:00,0.3157082535252174
2020-02-04 22:00:00,0.35794897827980654
2020-02-04 23:00:00,0.4354246866121831
2020-02-05 00:00:00,0.36380292455107954
2020-02-05 01:00:00,0.31208299306081366
2020-02-05 02:00:00,0.2673692694389645
2020-02-05 03:00:00,0.26062184207099987
2020-02-05 04:00:00,0.2675767138617796
2020-02-05 05:00:00,0.2741960343814591
2020-02-05 06:00:00,0.26299286882040795
2020-02-05 07:00:00,0.2547473613686721
2020-02-05 08:00:00,0.253934617921355
2020-02-05 09:00:00,0.2968357113110021
2020-02-05 10:00:00,0.27000304356755134
2020-02-05 11:00:00,0.22709494980368072
2020-02-05 12:00:00,0.22041099249534002
2020-02-05 13:00:00,0.18929782926019115
2020-02-05 14:00:00,0.17927119326025773
2020-02-05 15:00:00,0.21076937707768445
2020-02-05 16:00:00,0.19141430341877708
2020-02-05 17:00:00,0.2240693880644004
2020-02-05 18:00:00,0.2596511235120451
2020-02-05 19:00:00,0.25086658724512034
2020-02-05 20:00:00,0.22580431414272448
2020-02-05 21:00:00,0.3383945996162486
2020-02-05 22:00:00,0.37994602085565715
2020-02-05 23:00:00,0.35048447924557563
2020-02-06 00:00:00,0.26048253462395754
2020-02-06 01:00:00,0.24968422403881663
2020-02-06 02:00:00,0.25652242292587596
2020-02-06 03:00:00,0.2037347010207599
2020-02-06 04:00:00,0.2057930443881971
2020-02-06 05:00:00,0.21205231232699515
2020-02-06 06:00:00,0.18264887382296657
2020-02-06 07:00:00,0.2539056830412323
2020-02-06 08:00:00,0.28789156651178777
2020-02-06 09:00:00,0.3076589898975392
2020-02-06 10:00:00,0.2942810414111379
2020-02-06 11:00:00,0.24782095776640012
2020-02-06 12:00:00,0.21901068430488652
2020-02-06 13:00:00,0.22156722097121037
2020-02-06 14:00:00,0.2042170268047405
2020-02-06 15:00:00,0.25175423469662583
2020-02-06 16:00:00,0.30448197486418865
2020-02-06 17:00:00,0.29404652887465965
2020-02-06 18:00:00,0.27797436969554423
2020-02-06 19:00:00,0.26199601553102003
2020-02-06 20:00:00,0.23826334683942305
2020-02-06 21:00:00,0.26903979207443485
2020-02-06 22:00:00,0.24625427401524108
2020-02-06 23:00:00,0.24119207006861543
2020-02-07 00:00:00,0.2191891938475789
2020-02-07 01:00:00,0.21480299270511
2020-02-07 02:00:00,0.20178813029508677
2020-02-07 03:00:00,0.24679376952204468
2020-02-07 04:00:00,0.21011017517166364
2020-02-07 05:00:00,0.23406755587582617
2020-02-07 06:00:00,0.23709731783964041
2020-02-07 07:00:00,0.2668472748677189
2020-02-07 08:00:00,0.2659990628576707
